REPORT_NO,STATUS_FLAG,DEPT_CD,DEPT_NM,FLAW_GBN,REPORT_DT,INPUT_DT,PLANT_CD,PROCESS_CD,ITEM_CD,ITEM_GROUP_CD,FLAW_QTY,TYPE_CD,LOSS_MH,BP_CD,PAR_ITEM_CD,OUT_HOGI,ISSUE_DT,REMARK,INIT_QA_YN,REL_DEPT_YN,REL_DEPT_CD,CLAIM_YN,PART_COST,LABOR_COST,CLAIM_AMT,FINAL_CLAIM_AMT,DECIDE_RESULT,FLAW_STATE,ACT_RESULT,REL_DEPT_DT,REL_DEPT_COMMENT,CAP_YN,CAP_ACTION,QA_COMMENT,DECIDE_YN,DECIDE_DT,SIGN_YN,SIGN_DT,FINAL_YN,FINAL_DT,INSRT_USER_ID,INSRT_DT,UPDT_USER_ID,UPDT_DT,REG_DT,BIZ_DT,USE_ITEM_SEQ
QA2601012,P20,SH11610100,품질관리팀,QC,2026-01-08 00:00:00,2026-01-20 00:00:00,SA00,A03,WR00400A,ZZZZZ,1.00,D,0,1138150315,WC10000000,41,,,N,Y,SH11610100,N,0.00,860.00,0.00,0.00,,3라인-4연 메인 콘트롤 V/V 오일누유-블록 LONG BOLT 피치 조임부 누유됨  ,업체 1/13일 방문 신품 교체완료.탈거분 반출후 원인분석 및 수리후 입고완료 ,,,N,,,Y,2026-04-17 09:52:05.490000,,,N,,499162,2026-01-20 09:54:05.640000,499162,2026-04-17 09:52:05.490000,2026-03-04 09:26:59.800000,,0
QA2601013,P20,SH11610100,품질관리팀,QC,2026-01-08 00:00:00,2026-01-20 00:00:00,SA00,A01,SP1170NFM,ZZZZZ,1.00,A,0,3128180264,P020000,1,,,N,Y,SH00000000,N,0.00,0.00,0.00,0.00,,"1라인-프레임 단품 품번 (P012101B-18) 경유탱크 M/T 홀위치불량.S:42mm, A:70mm ",업체방문 홀가공 수정조치완료 ,,XXX XXX 건,N,,,Y,2026-04-17 09:52:54.253000,,,N,,499162,2026-01-20 09:58:32.527000,499162,2026-04-17 09:52:54.253000,2026-03-04 09:26:59.800000,,0
QA2601014,P20,SH11610100,품질관리팀,QC,2026-01-08 00:00:00,2026-01-20 00:00:00,SA00,A01,PT00900B-V,ZZZZZ,1.00,I,0,6618702541,P020000,1,,클레임,N,Y,SH00000000,N,0.00,0.00,0.00,0.00,,1라인-연료탱크 내부 이물질 및 녹발생 과다발생. ,현장 탱크 내부 세척 및 녹제거 조치완료. 업체 내용전달후 수정공수 패널티처리예정 ,,XXX XXX 건,N,,,Y,2026-04-17 09:53:45.833000,,,N,,499162,2026-01-20 10:38:46.390000,499162,2026-04-17 09:53:45.833000,2026-03-04 09:26:59.800000,,0
QA2601015,P20,SH11610100,품질관리팀,QC,2026-01-09 00:00:00,2026-01-20 00:00:00,SA00,A03,WR00600,ZZZZZ,1.00,I,0,1138150315,WC10000000,45,,,N,Y,SH22101000,N,0.00,860.00,0.00,0.00,,언더리프트 3연V/V SOL'커넥터 M/T부 표면 파손됨. 사내 도장이동중 파손 의심됨  ,커넥터 1EA 현장재고분 사용함.-조치완료 ,,,N,,,Y,2026-04-17 09:54:19.883000,,,N,,499162,2026-01-20 10:50:16.880000,499162,2026-04-17 09:54:19.883000,2026-03-04 09:26:59.800000,,0
QA2601016,P20,SH11610100,품질관리팀,QC,2026-01-09 00:00:00,2026-01-20 00:00:00,SA00,A01,D4B2-9600000-03,563,1.00,B,0,3128180264,P020000,1,,,N,Y,SH00000000,N,0.00,0.00,0.00,0.00,,1라인-히팅장치 TOOL BOX 내측 4번단품 PLATE 취부누락.품번 D4B2-9601000-05 참조 ,업체 확인후 반출 수정입고완료 ,,XXX XXX 건,N,,,Y,2026-04-17 09:54:42.100000,,,N,,499162,2026-01-20 10:54:29.720000,499162,2026-04-17 09:54:42.100000,2026-03-04 09:26:59.800000,,0
QA2601017,P20,SH11610100,품질관리팀,QC,2026-01-12 00:00:00,2026-01-20 00:00:00,SA00,A02,D8C3-4109000-05,ZZZZZ,4.00,H,0,1348149488,E1D1-0000000-00,335~336,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,2라인-COMP FLANGE 외관 도금불량-락카칠 도장됨 ,재고분 선투입완료. 고품 업체반출 수정입고완료 ,,,N,,,Y,2026-04-17 09:55:05.913000,,,N,,499162,2026-01-20 10:58:38.690000,499162,2026-04-17 09:55:05.913000,2026-03-04 09:26:59.800000,,0
QA2601018,P20,SH11610100,품질관리팀,QC,2026-01-12 00:00:00,2026-01-20 00:00:00,SA00,A07,A712215A,ZZZZZ,1.00,A,0,1348645361,A670000,33,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,"전기라인-레벨링센서 BKT(MC COVER) M6 TAP 홀간거리 가공불량 S:35mm, A:38mm ",업체 신규제작 입고완료 ,,,N,,,Y,2026-04-17 09:55:33.810000,,,N,,499162,2026-01-20 11:03:10.837000,499162,2026-04-17 09:55:33.810000,2026-03-04 09:26:59.800000,,0
QA2601019,P20,SH11610100,품질관리팀,QC,2026-01-12 00:00:00,2026-01-20 00:00:00,SA00,A07,EW07410,ZZZZZ,1.00,E,0,4280201574,WC10000000,44,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,전기라인-하네스 'A' 12P커넥터 5V라인 도이치핀 조립불량으로 언더리프트 각도센서 작동불능 ,현장 조치 완료. 업체내용전달후 납품전 전량 커넥터 도이치핀 확인요청함 ,,,N,,,Y,2026-04-17 09:55:55.167000,,,N,,499162,2026-01-20 11:09:31.133000,499162,2026-04-17 09:55:55.167000,2026-03-04 09:26:59.800000,,0
QA2601020,P20,SH11610100,품질관리팀,QC,2026-01-13 00:00:00,2026-01-20 00:00:00,SA00,A01,D702106,ZZZZZ,1.00,A,0,1348645361,D700000,29,,,N,Y,SH11231200,N,0.00,0.00,0.00,0.00,,1라인-LIFT CYL' PIN고정볼트홀 가공불량으로 볼트 조립불가-센터 한쪽으로 4mm쏠림 ,업체반출 SPACER 홀장공 수정입고완료 ,,,N,,,Y,2026-04-17 09:56:18.307000,,,N,,499162,2026-01-20 11:13:43.103000,499162,2026-04-17 09:56:18.307000,2026-03-04 09:26:59.800000,,0
QA2601021,P20,SH11610100,품질관리팀,QC,2026-01-13 00:00:00,2026-01-20 00:00:00,SA00,A01,A542104B,ZZZZZ,1.00,A,0,3018133096,A540000,128,,,N,Y,SH22101000,N,0.00,860.00,0.00,0.00,,1라인-HEAD BOOM 측면 M/T 홀맞지않음. FRP BOOM과 1:1 가공안됨. ,생산팀 제관라인 이동후 홀 용접육성후 FRP BOOM과1:1현장맞춤 가공수정조치완료 ,,FRP BOOM XXX XXX 홀 XXX,N,,"XXX 홀 XXX XXX XXX XXX X
-> XXX XXX 및 XXX XXX 건",Y,2026-04-28 16:20:31.843000,,,N,,499162,2026-01-20 11:18:05.800000,405015,2026-04-28 16:20:31.843000,2026-03-04 09:26:59.800000,,0
