INSP_REQ_NO,INSP_CLASS_CD,INSP_REQ_DT,PLANT_CD,ITEM_CD,BP_CD,WC_CD,OPR_NO,POR_NO,POR_SEQ,PRODT_NO,LOT_NO,LOT_SIZE,SL_CD,INSP_REQMT_DT,INSP_SCHDL_DT,INSP_STATUS,UNIT_CD,RELEASE_DT
QR000988,R,2026-03-03 00:00:00,SA00,6330015-0000090,4038600294,,,PO2601120106,2,,*,9.000000,A604,2026-03-03 00:00:00,,R,EA ,2026-03-03 00:00:00
QR000987,R,2026-03-03 00:00:00,SA00,6330015-0000090,4038600294,,,PO2601120106,1,,*,11.000000,A604,2026-03-03 00:00:00,,R,EA ,2026-03-03 00:00:00
QR000968,R,2026-03-03 00:00:00,SA00,T1I3-1229000-03,3320703029,,,PO2601080391,3,,*,3.000000,A601,2026-03-03 00:00:00,,R,EA ,2026-03-03 00:00:00
QR000967,F,2026-02-28 00:00:00,SA00,D580000,,A2000,300,,,A25JD1400EII:101,101,1.000000,A100,2026-02-28 00:00:00,,R,UNT,2026-02-28 00:00:00
QR000966,F,2026-02-28 00:00:00,SA00,D580000,,A2000,300,,,A25JD1400EII:102,102,1.000000,A100,2026-02-28 00:00:00,,R,UNT,2026-03-01 00:00:00
QR000965,F,2026-02-28 00:00:00,SA00,A540000,,A3000,290,,,A23SI160H:128,128,1.000000,A100,2026-02-28 00:00:00,,R,UNT,2026-02-28 00:00:00
QR000964,F,2026-02-28 00:00:00,SA00,A540000,,A3000,290,,,A23SI160H:127,127,1.000000,A100,2026-02-28 00:00:00,,R,UNT,2026-02-28 00:00:00
QR000963,F,2026-02-28 00:00:00,SA00,D120000,,A2000,040,,,R25JD1300E386,386,1.000000,A100,2026-02-28 00:00:00,,R,UNT,2026-02-28 00:00:00
QR000962,F,2026-02-28 00:00:00,SA00,E1D1-0000000-00,,A2000,300,,,A25JD800EI:336,336,1.000000,A100,2026-02-28 00:00:00,,R,UNT,2026-02-28 00:00:00
QR000961,F,2026-02-28 00:00:00,SA00,E1D1-0000000-00,,A2000,300,,,A25JD800EI:335,335,1.000000,A100,2026-02-28 00:00:00,,R,UNT,2026-02-28 00:00:00
QR000960,F,2026-02-28 00:00:00,SA00,Z5P1-MPPV000-00,,A1000,290,,,A25P150A:855,855,1.000000,A100,2026-02-28 00:00:00,,R,UNT,2026-02-28 00:00:00
QR000959,F,2026-02-28 00:00:00,SA00,Z5P1-MPPV000-00,,A1000,290,,,A25P150A:854,854,1.000000,A100,2026-02-28 00:00:00,,R,UNT,2026-02-28 00:00:00
QR000958,F,2026-02-27 00:00:00,SA00,J8B1-0000000-00,,A2000,300,,,A25JD1300E:394,394,1.000000,A100,2026-02-27 00:00:00,,R,UNT,2026-02-27 00:00:00
QR000957,F,2026-02-27 00:00:00,SA00,J8B1-0000000-00,,A2000,300,,,A25JD1300E:393,393,1.000000,A100,2026-02-27 00:00:00,,R,UNT,2026-02-27 00:00:00
QR000956,F,2026-02-27 00:00:00,SA00,J8B1-0000000-00,,A2000,300,,,A25JD1300E:392,392,1.000000,A100,2026-02-27 00:00:00,,R,UNT,2026-02-27 00:00:00
QR000955,R,2026-02-27 00:00:00,SA00,DF01010B,1348645361,,,PO2602100045,1,,*,8.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000954,R,2026-02-27 00:00:00,SA00,DF03291,1348645361,,,PO2601090037,1,,*,1.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000953,R,2026-02-27 00:00:00,SA00,DF02900,1348645361,,,PO2601090032,1,,*,2.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000952,R,2026-02-27 00:00:00,SA00,DF00384,1348645361,,,PO2601090011,2,,*,4.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000951,R,2026-02-27 00:00:00,SA00,DF00284,1348645361,,,PO2601090011,1,,*,1.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000949,R,2026-02-27 00:00:00,SA00,DF00700C,1348645361,,,PO2602230016,9,,*,20.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000948,R,2026-02-27 00:00:00,SA00,DF01200,1348645361,,,PO2602230016,7,,*,10.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000947,R,2026-02-27 00:00:00,SA00,DF01010B,1348645361,,,PO2602230016,6,,*,10.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000946,R,2026-02-27 00:00:00,SA00,DF00820A,1348645361,,,PO2602230016,5,,*,10.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000945,R,2026-02-27 00:00:00,SA00,DF00180,1348645361,,,PO2602230016,2,,*,5.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000944,R,2026-02-27 00:00:00,SA00,DF34007,1348645361,,,PO2601090045,5,,*,5.000000,A700,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000943,R,2026-02-27 00:00:00,SA00,D704501F,2088702433,,,PO2601080522,1,,*,3.000000,A600,2026-02-27 00:00:00,,R,EA ,2026-02-27 00:00:00
QR000935,R,2026-02-26 00:00:00,SA00,T1N1-3201000-10,1378127519,,,PO2601080499,2,,*,3.000000,A601,2026-02-26 00:00:00,,R,EA ,2026-02-26 00:00:00
QR000933,R,2026-02-26 00:00:00,SA00,D2B1-3800000-03,3320703029,,,PO2601140027,1,,*,3.000000,A700,2026-02-26 00:00:00,,R,EA ,2026-02-26 00:00:00
QR000932,R,2026-02-25 00:00:00,SA00,D135330,1348149488,,,PO2602110087,1,,*,2.000000,A602,2026-02-25 00:00:00,,R,EA ,2026-02-25 00:00:00
QR000929,R,2026-02-25 00:00:00,SA00,M021-14100,1098145190,,,PO2601130065,3,,*,1.000000,A700,2026-02-25 00:00:00,,R,EA ,2026-02-25 00:00:00
QR000862,R,2026-02-24 00:00:00,SA00,D8J3-3216000-00,1348149488,,,PO2601080534,66,,*,4.000000,A602,2026-02-24 00:00:00,,R,EA ,2026-02-24 00:00:00
QR000861,R,2026-02-24 00:00:00,SA00,D323431,1348149488,,,PO2601080534,28,,*,4.000000,A602,2026-02-24 00:00:00,,R,EA ,2026-02-24 00:00:00
QR000860,R,2026-02-24 00:00:00,SA00,D4B3-3221000-01,1348149488,,,PO2601080534,3,,*,4.000000,A602,2026-02-24 00:00:00,,R,EA ,2026-02-24 00:00:00
QR000859,R,2026-02-24 00:00:00,SA00,ES11100,1248667387,,,PO2602050027,1,,*,20.000000,A700,2026-02-24 00:00:00,,R,EA ,2026-02-24 00:00:00
QR000852,R,2026-02-23 00:00:00,SA00,Z5P3-220100C-00,3320703029,,,PO2601080390,9,,*,2.000000,A601,2026-02-23 00:00:00,,R,EA ,2026-02-23 00:00:00
QR000851,R,2026-02-23 00:00:00,SA00,Z5P3-220100C-00,3320703029,,,PO2601080389,6,,*,3.000000,A601,2026-02-23 00:00:00,,R,EA ,2026-02-23 00:00:00
QR000850,R,2026-02-23 00:00:00,SA00,S5T3-2178000-01,2348802346,,,PO2601080305,2,,*,11.000000,A603,2026-02-23 00:00:00,,R,EA ,2026-02-23 00:00:00
QR000849,R,2026-02-23 00:00:00,SA00,6171-55000,2348802346,,,PO2601080305,1,,*,11.000000,A603,2026-02-23 00:00:00,,R,EA ,2026-02-23 00:00:00
QR000841,R,2026-02-13 00:00:00,SA00,Z5P1-1901000-16,3020694842,,,PO2601080023,3,,*,3.000000,A601,2026-02-13 00:00:00,,R,EA ,2026-02-13 00:00:00
QR000840,R,2026-02-13 00:00:00,SA00,T2P3-2316000-02,3020694842,,,PO2601080023,2,,*,3.000000,A601,2026-02-13 00:00:00,,R,EA ,2026-02-13 00:00:00
QR000832,R,2026-02-13 00:00:00,SA00,Z5P1-1901000-16,3020694842,,,PO2601080022,4,,*,2.000000,A601,2026-02-13 00:00:00,,R,EA ,2026-02-13 00:00:00
QR000826,R,2026-02-13 00:00:00,SA00,Z5P1-1901000-16,3020694842,,,PO2601080021,3,,*,3.000000,A601,2026-02-13 00:00:00,,R,EA ,2026-02-13 00:00:00
QR000776,R,2026-02-12 00:00:00,SA00,Z2P3-2738000-12,1348149488,,,PO2601070179,6,,*,2.000000,A601,2026-02-12 00:00:00,,R,EA ,2026-02-12 00:00:00
QR000775,R,2026-02-11 00:00:00,SA00,ES11100,1248667387,,,PO2601120015,1,,*,44.000000,A603,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000774,R,2026-02-11 00:00:00,SA00,DF01010B,1348645361,,,PO2602100045,1,,*,2.000000,A700,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000773,R,2026-02-11 00:00:00,SA00,6400007-2400010,2348802346,,,PO2601300038,1,,*,10.000000,A700,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000772,R,2026-02-11 00:00:00,SA00,S5T3-2178000-01,2348802346,,,PO2601280025,2,,*,2.000000,A700,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000771,R,2026-02-11 00:00:00,SA00,EC08100,2298600847,,,PO2601210045,2,,*,2.000000,A604,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000770,R,2026-02-11 00:00:00,SA00,EC04400,2298600847,,,PO2601130106,4,,*,11.000000,A604,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000769,R,2026-02-11 00:00:00,SA00,EC08200,2298600847,,,PO2601130106,3,,*,5.000000,A604,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000768,R,2026-02-11 00:00:00,SA00,EC08000,2298600847,,,PO2601130106,2,,*,20.000000,A604,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000767,R,2026-02-11 00:00:00,SA00,EC08100,2298600847,,,PO2601130106,1,,*,33.000000,A604,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000766,R,2026-02-11 00:00:00,SA00,ES05200,2298600847,,,PO2601080239,20,,*,4.000000,A604,2026-02-11 00:00:00,,R,EA ,2026-02-11 00:00:00
QR000765,R,2026-02-10 00:00:00,SA00,6110025-050260D,8528601272,,,PO2602100053,1,,*,9.000000,A600,2026-02-10 00:00:00,,R,EA ,2026-02-10 00:00:00
QR000761,R,2026-02-09 00:00:00,SA00,D8J3-3216000-00,1348149488,,,PO2601080538,10,,*,4.000000,A602,2026-02-09 00:00:00,,R,EA ,2026-02-09 00:00:00
QR000694,R,2026-02-07 00:00:00,SA00,T1D3-3401500-00,1348149488,,,PO2601080538,25,,*,4.000000,A602,2026-02-07 00:00:00,,R,EA ,2026-02-07 00:00:00
QR000693,R,2026-02-07 00:00:00,SA00,D323431,1348149488,,,PO2601080538,12,,*,4.000000,A602,2026-02-07 00:00:00,,R,EA ,2026-02-07 00:00:00
QR000692,R,2026-02-07 00:00:00,SA00,D303221,1348149488,,,PO2601080538,2,,*,4.000000,A602,2026-02-07 00:00:00,,R,EA ,2026-02-07 00:00:00
QR000691,R,2026-02-06 00:00:00,SA00,6400007-2400010,2348802346,,,PO2601120032,1,,*,22.000000,A603,2026-02-06 00:00:00,,R,EA ,2026-02-06 00:00:00
QR000690,R,2026-02-04 00:00:00,SA00,6400007-2400010,2348802346,,,PO2601280025,1,,*,5.000000,A700,2026-02-04 00:00:00,,R,EA ,2026-02-04 00:00:00
QR000689,R,2026-01-30 00:00:00,SA00,T3L1-1101000-16,3020694842,,,PO2601290014,1,,*,1.000000,A601,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000688,R,2026-01-30 00:00:00,SA00,T3L1-1101000-16,3020694842,,,PO2601290014,2,,*,1.000000,A601,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000685,R,2026-01-30 00:00:00,SA00,DF05010,1348645361,,,PO2601140013,1,,*,10.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000684,R,2026-01-30 00:00:00,SA00,DJ50090,1348645361,,,PO2601090045,8,,*,10.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000683,R,2026-01-30 00:00:00,SA00,DJ00310,1348645361,,,PO2601090045,7,,*,20.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000682,R,2026-01-30 00:00:00,SA00,DJ00210,1348645361,,,PO2601090045,6,,*,20.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000681,R,2026-01-30 00:00:00,SA00,DF32010,1348645361,,,PO2601090045,3,,*,5.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000680,R,2026-01-30 00:00:00,SA00,DF08400,1348645361,,,PO2601090045,2,,*,10.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000679,R,2026-01-30 00:00:00,SA00,DF05500,1348645361,,,PO2601090045,1,,*,5.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000678,R,2026-01-30 00:00:00,SA00,DF04510,1348645361,,,PO2601090043,1,,*,10.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000677,R,2026-01-30 00:00:00,SA00,DF00880,1348645361,,,PO2601090028,1,,*,10.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000676,R,2026-01-30 00:00:00,SA00,DF00880,1348645361,,,PO2601090027,1,,*,10.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000675,R,2026-01-30 00:00:00,SA00,DF00200,1348645361,,,PO2601090023,1,,*,10.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000674,R,2026-01-30 00:00:00,SA00,DF00180,1348645361,,,PO2601090021,1,,*,5.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000673,R,2026-01-30 00:00:00,SA00,DF00100,1348645361,,,PO2601090019,1,,*,10.000000,A700,2026-01-30 00:00:00,,R,EA ,2026-01-30 00:00:00
QR000672,F,2026-01-29 00:00:00,SA00,K020000,,A3000,290,,,R25JA250C106,106,1.000000,A100,2026-01-29 00:00:00,,R,UNT,2026-01-29 00:00:00
QR000671,F,2026-01-29 00:00:00,SA00,D580000,,A2000,300,,,A25JD1400EII:100,100,1.000000,A100,2026-01-29 00:00:00,,R,UNT,2026-01-29 00:00:00
QR000670,F,2026-01-29 00:00:00,SA00,D040000,,A2000,300,,,A25JD1400E:205,205,1.000000,A100,2026-01-29 00:00:00,,N,UNT,
QR000668,F,2026-01-29 00:00:00,SA00,A670000,,A3000,290,,,A25SI211AE:033,33,1.000000,A100,2026-01-29 00:00:00,,R,UNT,2026-01-29 00:00:00
QR000667,F,2026-01-29 00:00:00,SA00,J8B1-0000000-00,,A2000,300,,,A25JD1300E:391,391,1.000000,A100,2026-01-29 00:00:00,,R,UNT,2026-01-29 00:00:00
QR000666,F,2026-01-29 00:00:00,SA00,E1D1-0000000-00,,A2000,300,,,A25JD800EI:334,334,1.000000,A100,2026-01-29 00:00:00,,R,UNT,2026-01-29 00:00:00
QR000661,R,2026-01-28 00:00:00,SA00,DF01710,1348645361,,,PO2601090031,1,,*,10.000000,A700,2026-01-28 00:00:00,,R,EA ,2026-01-28 00:00:00
QR000660,R,2026-01-28 00:00:00,SA00,DF01304,1348645361,,,PO2601090030,1,,*,10.000000,A700,2026-01-28 00:00:00,,R,EA ,2026-01-28 00:00:00
QR000659,R,2026-01-28 00:00:00,SA00,DF00800,1348645361,,,PO2601090026,1,,*,10.000000,A700,2026-01-28 00:00:00,,R,EA ,2026-01-28 00:00:00
QR000591,R,2026-01-28 00:00:00,SA00,Z2P3-2738000-12,1348149488,,,PO2601080385,60,,*,1.000000,A601,2026-01-28 00:00:00,,R,EA ,2026-01-28 00:00:00
QR000588,R,2026-01-28 00:00:00,SA00,D8C1-2008000-06,1348149488,,,PO2601080538,44,,*,4.000000,A602,2026-01-28 00:00:00,,R,EA ,2026-01-28 00:00:00
QR000587,R,2026-01-28 00:00:00,SA00,DF05010,1348645361,,,PO2601140001,2,,*,30.000000,A503,2026-01-28 00:00:00,,R,EA ,2026-01-28 00:00:00
QR000586,R,2026-01-28 00:00:00,SA00,DF01710,1348645361,,,PO2601140001,1,,*,30.000000,A503,2026-01-28 00:00:00,,R,EA ,2026-01-28 00:00:00
QR000576,R,2026-01-26 00:00:00,SA00,D323431,1348149488,,,PO2601080535,16,,*,4.000000,A602,2026-01-26 00:00:00,,R,EA ,2026-01-26 00:00:00
QR000575,R,2026-01-26 00:00:00,SA00,D4B3-3221000-01,1348149488,,,PO2601080535,2,,*,4.000000,A602,2026-01-26 00:00:00,,R,EA ,2026-01-26 00:00:00
QR000573,R,2026-01-26 00:00:00,SA00,EC04400,2298600847,,,PO2601210045,1,,*,2.000000,A604,2026-01-26 00:00:00,,R,EA ,2026-01-26 00:00:00
QR000572,R,2026-01-26 00:00:00,SA00,EC08100,2298600847,,,PO2601120192,2,,*,2.000000,A604,2026-01-26 00:00:00,,R,EA ,2026-01-26 00:00:00
QR000570,R,2026-01-23 00:00:00,SA00,ES05200,2298600847,,,PO2601080239,21,,*,4.000000,A604,2026-01-23 00:00:00,,R,EA ,2026-01-23 00:00:00
QR000569,R,2026-01-23 00:00:00,SA00,6400007-2400010,2348802346,,,PO2601220039,1,,*,3.000000,A700,2026-01-23 00:00:00,,R,EA ,2026-01-23 00:00:00
QR000562,R,2026-01-23 00:00:00,SA00,ES05200,2298600847,,,PO2601080239,6,,*,5.000000,A604,2026-01-23 00:00:00,,R,EA ,2026-01-23 00:00:00
QR000558,R,2026-01-23 00:00:00,SA00,A043101C,1378127519,,,PO2601070090,1,,*,1.000000,A601,2026-01-23 00:00:00,,R,EA ,2026-01-23 00:00:00
QR000553,R,2026-01-22 00:00:00,SA00,M021-14100,1098145190,,,PO2601130065,2,,*,1.000000,A700,2026-01-22 00:00:00,,R,EA ,2026-01-22 00:00:00
QR000486,R,2026-01-21 00:00:00,SA00,D8J3-3216000-00,1348149488,,,PO2601080535,81,,*,4.000000,A602,2026-01-21 00:00:00,,R,EA ,2026-01-21 00:00:00
QR000484,R,2026-01-21 00:00:00,SA00,EC04400,2298600847,,,PO2601120192,1,,*,2.000000,A604,2026-01-21 00:00:00,,R,EA ,2026-01-21 00:00:00
QR000475,R,2026-01-20 00:00:00,SA00,D323431,1348149488,,,PO2601080541,55,,*,2.000000,A602,2026-01-20 00:00:00,,R,EA ,2026-01-20 00:00:00
QR000417,R,2026-01-19 00:00:00,SA00,D8J3-3216000-00,1348149488,,,PO2601080541,10,,*,2.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000286,R,2026-01-19 00:00:00,SA00,D323431,1348149488,,,PO2601150126,59,,*,3.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000285,R,2026-01-19 00:00:00,SA00,T1D3-3401500-00,1348149488,,,PO2601150126,20,,*,3.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000284,R,2026-01-19 00:00:00,SA00,D8J3-3216000-00,1348149488,,,PO2601150126,9,,*,3.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000283,R,2026-01-19 00:00:00,SA00,D303221,1348149488,,,PO2601150126,1,,*,3.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000282,R,2026-01-19 00:00:00,SA00,D323431,1348149488,,,PO2601080540,59,,*,1.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000281,R,2026-01-19 00:00:00,SA00,T1D3-3401500-00,1348149488,,,PO2601080540,20,,*,1.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000280,R,2026-01-19 00:00:00,SA00,D8J3-3216000-00,1348149488,,,PO2601080540,9,,*,1.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000279,R,2026-01-19 00:00:00,SA00,D303221,1348149488,,,PO2601080540,1,,*,1.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000227,R,2026-01-19 00:00:00,SA00,Z2P3-2738000-12,1348149488,,,PO2601070129,36,,*,2.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000224,R,2026-01-19 00:00:00,SA00,D8C1-2008000-06,1348149488,,,PO2601150126,31,,*,3.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000223,R,2026-01-19 00:00:00,SA00,D8C1-2008000-06,1348149488,,,PO2601150125,5,,*,2.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000222,R,2026-01-19 00:00:00,SA00,D8C1-2008000-06,1348149488,,,PO2601080541,27,,*,2.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000221,R,2026-01-19 00:00:00,SA00,D8C1-2008000-06,1348149488,,,PO2601080540,31,,*,1.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000219,R,2026-01-19 00:00:00,SA00,Z5P3-220100C-00,3320703029,,,PO2601080436,4,,*,2.000000,A600,2026-01-19 00:00:00,,R,EA ,2026-01-19 00:00:00
QR000217,R,2025-09-12 00:00:00,SH00,Q61105,1408116129,,,PO2507230038,4,,*,2.000000,B50A,2025-09-12 00:00:00,,R,EA ,2025-10-29 00:00:00
QR000169,R,2022-03-21 00:00:00,SH00,9104028,1248716702,,,PO2203170018,1,,*,120.000000,MRO,2022-03-21 00:00:00,,N,EA ,
QR000167,R,2021-11-02 00:00:00,SH00,F81112,1408191813,,,PO2110250014,2,,*,5.000000,B700,2021-11-02 00:00:00,,R,EA ,2021-12-07 00:00:00
QR000166,R,2021-11-02 00:00:00,SH00,C03282,1408191813,,,PO2110250014,1,,*,30.000000,B700,2021-11-02 00:00:00,,R,EA ,2022-12-01 00:00:00
QR000165,R,2021-06-18 00:00:00,SH00,AS0232,1138679597,,,PO2106110023,2,,*,3.000000,C700,2021-06-18 00:00:00,,R,EA ,2022-12-31 00:00:00
QR000164,R,2021-06-18 00:00:00,SH00,AS0231,1138679597,,,PO2106110023,1,,*,3.000000,C700,2021-06-18 00:00:00,,R,EA ,2022-12-31 00:00:00
QR000163,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2351,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000162,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2350,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000161,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2347,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000160,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2345,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000159,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2344,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000158,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2342,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000157,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2341,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000156,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2338,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000155,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2335,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000154,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,8,,2332,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000153,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,7,,2312,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000152,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,7,,2305,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000151,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,7,,2278,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000150,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,7,,2277,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000149,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,7,,2272,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000148,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,7,,2270,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000147,R,2021-04-28 00:00:00,SH00,E81179,1408191813,,,PO2103210015,7,,2257,1.000000,B500,2021-04-28 00:00:00,,R,EA ,2021-05-01 00:00:00
QR000146,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2324,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000145,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2323,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000144,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2321,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000143,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2318,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000142,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2316,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000141,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2314,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000140,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2307,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000139,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2304,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000138,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2301,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000137,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2299,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000136,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2292,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000135,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2285,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
QR000134,R,2021-03-11 00:00:00,SH00,E81179,1408191813,,,PO2103080024,1,,2283,1.000000,B500,2021-03-11 00:00:00,,R,EA ,2021-03-11 00:00:00
