ITEM_CD,ITEM_NM,ITEM_GROUP_NM,SPEC,BASIC_UNIT,HS_CD
2819040,"SEAL,BUFFER/FIETZ,KSB40X46X3/324",SB10,"FIETZ,KSB40X46X3",EA,8431.49-9000
2819041,"SEAL,BUFFER/FIETZ,KSB147X5.5X5.1/324",SB100,"FIETZ,KSB147X5.5X5.1",EA,8431.49-9000
2819042,"SEAL,STEP/FIETZ,STS147/324",SB100,"FIETZ,STS147",EA,8431.49-9000
2819044,"PACKING,U/YBS,SUPI/50X60X6/URETHANE",SB30,"YBS,SUPI/50X60X6",EA,8431.49-9000
2819046,"SEAL,BUFFER/FIETZ,SBD53X3.4X3.2/324",SB30,"FIETZ,SBD53X3.4X3.2",EA,8431.49-9000
2819047,"SEAL,BUFFER/FIETZ,STS-BO-125/324",SB60,"FIETZ,STS-BO-125",EA,8431.49-9000
2819048,"SEAL,BUFFER/FIETZ,SBD70X3.4X3.2/324",SB40,"FIETZ,SBD70X3.4X3.2",EA,8431.49-9000
2819049,"SEAL,STEP/FIETZ,STS-57/324F",SB35,"FIETZ,STS-57",EA,8431.49-9000
2819050,"SEAL,STEP/FIETZ,STS73/324F",SB43,"FIETZ,STS73",EA,8431.49-9000
2819051,"SEAL,BUFFER/SB81/NOK,SRTN-138/08GF",SB81,"SRTN-138, 08GF, -",EA,8431.49-9000
2819051ES,"SEAL,BUFFER/SB81/NOK,SRTN-138/08GF",SB81,"SRTN-138, 08GF, -",EA,8431.49-9000
2819052,"SEAL,BUFFER/SB100/NOK,SRTN-147/08GF",SB100,"SRTN-147, 08GF, -",EA,8431.49-9000
2819053,"SEAL,BUFFER/SB125/NOK,SRTN-157/08GF",SB125,"SRTN-157, 08GF, -",EA,8431.49-9000
2819054,"SEAL,BUFFER/SB130/NOK,SRTN-167/08GF",SB130,"SRTN-167, 08GF, -",EA,8431.49-9000
2819055,"SEAL,BUFFER/SB150/NOK,SRTN-177/08GF",SB151,"SRTN-177, 08GF, -",EA,8431.49-9000
2819056,"SEAL,BUFFER/SB40/NOK,SRTN-70/08GF",SB40,"NOK SRTN-70, 08GF, -",EA,8431.49-9000
2819056ES,"SEAL,BUFFER/SB40/NOK,SRTN-70/08GF",SB40,", URETHANE, -",EA,8431.49-9000
2819057,"SEAL,BUFFER/SB60/NOK, SPNS-125/19YF",SB60,"NOK, SPNS-125",EA,8431.49-9000
2819058,"SEAL,BUFFER/SB30/NOK,SRTN-53/08GF",SB30,"NOK SRTN-53, 08GF, -",EA,8431.49-9000
2819058ES,"SEAL,BUFFER/SB30/NOK,SRTN-53/08GF",SB30,"NOK SRTN-53, 08GF, -",EA,8431.49-9000
2819059,"BUFFER RING/SB30/NOK,SRTN-50/08GF",SB30,"NOK SRTN-50, 08GF, -",EA,8431.49-9000
2819059ES,"SEAL,BUFFER/SB30/NOK,SRTN-50/08GF",SB30,"NOK SRTN-50, 08GF, -",EA,8431.49-9000
2819062,"SEAL,BUFFER/SB10/NOK,SRTN-40/08GF",SB10,"NOK SRTN-40, 08GF, -",EA,8431.49-9000
2819063,"BUFFER SEAL/SB10/NOK,SRTN-37/08GF",SB10,"NOK SRTN-37, 08GF, -",EA,8431.49-9000
2819107,"PACKING,U/SB147P/IUIY 180X194.5X9/UH08",SB147P,"NOK IUIY 180x194.5x9, UH08, -",EA,8431.49-9000
2819108,"PACKING,U/SB147P/IUIY 175X189.5X9/UH08",SB147P,IUIY 175X189.5X9,EA,8431.49-9000
2819109,"PACKING,U/SB157/IUIY 185X199.5X9/UH08",SB157,IUIY 185X199.5X9,EA,8431.49-9000
2819110,"PACKING,U/SQ181/IUIY 200X214.5X9/UH08",SQ181,IUIY 200X214.5X9,EA,8431.49-9000
2819111,"PACKING,U/SB147P/IUIS 180X200X12/UH08",SB147P,"NOK IUIS 180x200x12, UH08, -",EA,8431.49-9000
2819112,"PACKING,U/SB141P/IUIS 175X190X9/NOK/UH08",SB147P,IUIS 175X190X9/NOK,EA,8431.49-9000
2819113,"PACKING,U/SB153/IUIS 185X205X12/NOK/UH08",SB157,IUIS 185X205X12/NOK,EA,8431.49-9000
2819114,"PACKING,U/SQ181/IUIS 200X220X12/NOK/UH08",SQ181,IUIS 200X220X12/NOK,EA,8431.49-9000
2819115,"PACKING,U/SB170/IUIY 190X204.5X9/UH08",SB170,IUIY 190X204.5X9,EA,8431.49-9000
2819116,"PACKING,U/SB170/IUIS 190X210X12/UH08",SB170,IUIS 190X210X12,EA,8431.49-9000
2819117,"PACKING,U/SB147P/IUI 180X200X12/UH911",SB170,NOK IUI 180X200X12,EA,8431.49-9000
2819118,"PACKING,U/SB147P/IUIY180X194.5X9.5/UH911",SB170,NOK IUIY 180X194.5X9.5,EA,8431.49-9000
2819119,"SEAL,GAS/SQ181/IKH 195X207.5X10",SQ181,"IKH 195x207.5x10, NBR, -",EA,8431.49-9000
2819120,"SEAL,STEP/SQ181/SPNS 195X210.5X5.9",SQ181,"SPNS195x210.5x5.9, -, -",EA,8431.49-9000
2819121,"PACKING,U/IUIY 185X199.5X9/UH911",SB170,IUIY 185X199.5X9,EA,8431.49-9000
2819122,"PACKING,U/IUIS 185X205X12/UH911",SB170,IUIS 185X205X12,EA,8431.49-9000
2819123,"PACKING,U/SB170/IUIY 190X204.5X9/UH911",SB170,IUIY 190X204.5X9,EA,8431.49-9000
2819124,"PACKING,U/SB170/IUIS 190X210X12/UH911",SB170,IUIS 190X210X12,EA,8431.49-9000
2819125,"PACKING,U/SB147P/부광 RUS/180X200X12/BS",SB147P,180X200X12,EA,8431.49-9000
2819126,"PACKING,U/SB147P/부광 RUY/180X194.5X9.5",SB147P,180X194.5X9.5,EA,8431.49-9000
2819127,"PACKING,U/SB175/RUS 190X215X16",SB175,190X215X16,EA,8431.49-9000
2819128,"PACKING,U/SB175/RUY 190X204.5X9",SB175,190X204.5X9,EA,8431.49-9000
2819129,U-PACKING/SB161/RUS/185X205X12/BKU950,SB161,"RUS 185x205x12, BKU950, -",EA,8431.49-9000
2819130,U-PACKING/SB161/RUY/185X199.5X9/BKU950,SB161,"RUY 185x199.5x9, BKU950, -",EA,8431.49-9000
2819133,"PACKING,U/RUS 215X235X12",SB210H,RUS 215X235X12,EA,8431.49-9000
2819134,"SEAL,BUFFER/YRUS 215X235X9",SB210H,YRUS 215X235X9,EA,8431.49-9000
2819137,"PACKING,U/IUI/185X205X12X11/UH970",SB3000II,185X205X12,EA,8431.49-9000
2821011,"PACKING,U/NOK,IUH/53X63X6/누유방지/G928",SB30,"NOK,IUH/53X63X6",EA,8431.49-9000
2821012,"PACKING,U/NOK,IUH/40X50X6/누유방지/A505",SB10,"NOK,IUH/40X50X6",EA,8431.49-9000
2821014,"PACKING,U/NOK,IUH/60X70X6/누유방지/A505",SB35,"NOK,IUH/60X70X6",EA,8431.49-9000
2821015,"PACKING,U/NOK,IUH/70X80X6/누유방지/G928",SB40,"NOK,IUH/70X80X6",EA,8431.49-9000
2821016,"PACKING,U/NOK,IUH/75X85X6/누유방지/A505",SB43,"NOK,IUH/75X85X6",EA,8431.49-9000
2821017,"PACKING,U/NOK,IUH/85X100X9/NBR/A505",SB45,"NOK,IUH/85X100X9",EA,8431.49-9000
2821018,"PACKING,U/NOK,IUH/100X115X9/NBR",SB50,"NOK,IUH/100x115x9, NBR, -",EA,8431.49-9000
2821018ES,"PACKING,U/NOK,IUH/100X115X9/NBR",SB50,"NOK,IUH/100x115x9, NBR, -",EA,8431.49-9000
2831011,"SEAL,DUST/NOK,DSI170X183X7X9.5/URETHANE",SB130,"NOK,DSI170X183X7X9.5",EA,8431.49-9000
2831013,"SEAL,DUST/SB30/NOK,DSI-53X61X5X6.5",SB30,"NOK DSI 53*61*5*6.5, U801, -",EA,8431.49-9000
2831013ES,"SEAL,DUST/SB30/NOK,DSI-53X61X5X6.5",SB30,"NOK DSI 53*61*5*6.5, U801, -",EA,8431.49-9000
2831016,"SEAL,DUST/SB100/NOK,DSI150X163X7X9.5",SB100,"NOK,DSI150X163X7X9.5",EA,8431.49-9000
2831017,"SEAL,DUST/NOK,DSI75X85X6X8/U801",SB43,"NOK DSI 75*85*6*8, U801, -",EA,8431.49-9000
2831017ES,"SEAL,DUST/NOK,DSI75X85X6X8/U801",SB43,"NOK DSI 75*85*6*8, U801, -",EA,8431.49-9000
2831018,"SEAL,DUST/SB70/NOK,LBI-135X148X7X9/U641",SB70,"NOK,LBI-135X148X7X9",EA,8431.49-9000
2831022,"SEAL,DUST/SB40/NOK,LBI-70X80X6X8/U641",SB40,"NOK LBI 70*80*6*8, U641, -",EA,8431.49-9000
2831022ES,"SEAL,DUST/SB40/NOK,LBI-70X80X6X8/U641",SB40,", URETHANE, -",EA,8431.49-9000
2831023,"SEAL,DUST/SB50/NOK,LBI-100X110X6X8/U641",SB50,"NOK LBI 100*110*6*8, U641, -",EA,8431.49-9000
2831025,"SEAL,DUST/NOK,LBI-180X193X7X9/U641",SB151,"NOK,LBI-180X193X7X9",EA,8431.49-9000
2831031,"SEAL,DUST/SB30/NOK,LBY 53X61X5X6.5/A505",SB30,"NOK,LBY 53X61X5X6.5",EA,8431.49-9000
2831032,"SEAL,DUST/NOK,LBY170X183X7X9.5/A505",SB130,"NOK,LBY170X183X7X9.5",EA,8431.49-9000
2831034,"SEAL,DUST/NOK,LBY70X80X6X8/NBR/A505",SB40,"NOK,LBY70X80X6X8",EA,8431.49-9000
2831046,"SEAL,DUST/SB40P/NOK DSI 80X90X6X8",SB40P,"NOK DSI 80*90*6*8, U801, -",EA,8431.49-9000
2831057,"SEAL,DUST/NOK,DSI 40X48X5X6.5",SB10,"NOK DSI 40*48*5*6.5, U801, -",EA,8431.49-9000
2831063,"SEAL,DUST/NOK,DSI 60X68X5X6.5/FQ0045D0",SB35,"NOK DSI 60*68*5*6.5, U801, -",EA,8431.49-9000
2831063ES,"SEAL,DUST/NOK,DSI 60X68X5X6.5/FQ0045D0",SB35,"NOK DSI 60*68*5*6.5, U801, -",EA,8431.49-9000
2831064,"SEAL,DUST/NOK,DSI 70X80X6X8",SB40,"NOK,DSI 70X80X6X8",EA,8431.49-9000
2831068,"SEAL,DUST/NOK,DSI 85X95X6X8",SB45,"NOK DSI 85*95*6*8, U801, -",EA,8431.49-9000
2831068ES,"SEAL,DUST/NOK,DSI 85X95X6X8",SB45,"NOK DSI 85x95x6x8, U593, -",EA,8431.49-9000
2831071,"SEAL,DUST/NOK,DSI 100X110X6X8",SB50,"NOK,DSI 100X110X6X8",EA,8431.49-9000
2831073,"SEAL,DUST/NOK,DSI 125X138X7X9.5",SB60,"NOK,DSI125x138x7x9.5, Urethane, -",EA,8431.49-9000
2831073ES,"SEAL,DUST/NOK,DSI 125X138X7X9.5",SB60,"NOK,DSI125x138x7x9.5, URETHANE, -",EA,8431.49-9000
2831074,"SEAL,DUST/NOK,DSI 160X173X7X9.5/U801",SB125,"NOK,DSI 160X173X7X9.5",EA,8431.49-9000
2831075,"SEAL,DUST/NOK,DSI/180X193X7X9.5",SB151,"NOK,DSI/180X193X7X9.5",EA,8431.49-9000
2831081,"SEAL,DUST/210X223X7X9.5 DSI/U801",SB200,210X223X7X9.5 D냐,EA,8431.49-9000
2831101,"SEAL,DUST/NOK,LBI 70X80X6X8",SB40,"NOK,LBI 70X80X6X8",EA,8431.49-9000
2831905,"SEAL,DUST/SAKAGAMI,SDR-53X61X6.5",SB30,"SAKAGAMI,SDR-53X61X6.5",EA,8431.49-9000
2831906,"SEAL,DUST/SAKAGAMI,SDR-175X188X7X9.5",SB140,"SAKAGAMI,SDR-175X188X7X9.5",EA,8431.49-9000
2831907,"SEAL,DUST/SKGM,SDR40X48X5X6.5/NBR",SB10,"SKGM,SDR40X48X5X6.5",EA,8431.49-9000
2831909,"SEAL,DUST/SKGM,SDR60X68X5X6.5/NBR",SB35,"SKGM,SDR60X68X5X6.5",EA,8431.49-9000
2831910,"SEAL,DUST/SKGM,SDR75X85X6X8/NBR",SB43,"SKGM,SDR75X85X6X8",EA,8431.49-9000
2831911,"SEAL,DUST/SKGM,SDR85X95X6X8/NBR",SB45,"SKGM,SDR85X95X6X8",EA,8431.49-9000
2831912,"SEAL,DUST/SKGM,SDR100X110X6X8/NBR",SB50,"SKGM,SDR100x110x6x8, NBR, -",EA,8431.49-9000
2831912ES,"SEAL,DUST/SKGM,SDR100X110X6X8/NBR",SB50,"SKGM,SDR100x110x6x8, NBR, -",EA,8431.49-9000
2831913,"SEAL,DUST/SKGM,SDR170X183X9.5X7/RN906",SB135,"SKGM,SDR170X183X9.5X7",EA,8431.49-9000
2831931,"SEAL,DUST/SB147P/DSI 180X193.7X9.5/U801",SB147P,"NOK DSI 180*193*7*9.5, U801, -",EA,8431.49-9000
2831932,"SEAL,DUST/SB147P/DSI 175X188X7X9.5/U801",SB147P,DSI 175X188X7X9.5/U801,EA,8431.49-9000
2831933,"SEAL,DUST/SB157/DSI 185X198X7X9.5/U801",SB157,DSI 185X198X7X9.5/U801,EA,8431.49-9000
2831934,"SEAL,DUST/SQ181/DSI 200X213X7X9.5/U801",SQ181,DSI 200X213X7X9.5/U801,EA,8431.49-9000
2831935,"SEAL,DUST/SB170/DSI 190X203X7X9.5/U801",SB170,DSI 190X203X7X9.5,EA,8431.49-9000
2831936,"SEAL,DUST/SB147P/부광 DUS/180X193.7X9.5",SB147P,180X193.7X9.5,EA,8431.49-9000
2831937,"SEAL,DUST/SB175/DUS 190X203X7/9.5",SB175,190X203X7/9.5,EA,8431.49-9000
2831938,"SEAL,DUST/SB161/DUS/185X198X7X9.5/BKU950",SB161,"DUS 185x198x7x9.5, BKU950, -",EA,8431.49-9000
2831939,"SEAL,DUST/DU5 215X232X9X12",SB210H,DU5 215X232X9X12,EA,8431.49-9000
2831941,"SEAL,DUST/D5,185X198X7.3X10.5/107-93A",SB3000II,185X198X7.3X10.5,EA,8431.49-9000
2833001,"SEAL,BUFFER/SB45/NOK,HBY85Z 100.5X6",SB45,"NOK HBY 85*100.5*6, U801, -",EA,8431.49-9000
2833001ES,"SEAL,BUFFER/SB45/NOK,HBY85Z 100.5X6",SB45,"NOK HBY 85*100.5*6, U801, -",EA,8431.49-9000
2833002,"SEAL,BUFFER/NOK,HBY 100X115.5X6",SB50,"NOK,HBY 100X115.5X6",EA,8431.49-9000
2833003,"SEAL,BUFFER/SB81/NOK,HBY 140X155.5X5.8",SB81,"HBY140x155_5xT5_8, Urethane, -",EA,8431.49-9000
2833003ES,"SEAL,BUFFER/SB81/NOK,HBY 140X155.5X5.8",SB81,"HBY140x155_5xT5_8, URETHANE, -",EA,8431.49-9000
2833004,"SEAL,BUFFER/NOK,HBY 160X175.5X6",SB125,"HBY160x175_5xT6, Urethane, -",EA,8431.49-9000
2833010,"SEAL,BUFFER/SB100/NOK,HBY150X165.5X6",SB100,"HBY150x165.5x6, Urethane, -",EA,8431.49-9000
2833011,"SEAL,BUFFER/SB35/NOK,HBY-60X75.5X6/U801",SB35,"NOK HBY 60*75.5*6, U801, -",EA,8431.49-9000
2833011ES,"SEAL,BUFFER/SB35/NOK,HBY-60X75.5X6/U801",SB35,"NOK HBY 60*75.5*6, U801, -",EA,8431.49-9000
2833012,"SEAL,BUFFER/NOK,HBY75X90.5X6/U801",SB43,"NOK HBY 75*90.5*6, U801, -",EA,8431.49-9000
2833012ES,"SEAL,BUFFER/NOK,HBY75X90.5X6/U801",SB43,"NOK HBY 75*90.5*6, U801, -",EA,8431.49-9000
2833013,"SEAL,BUFFER/SB70,81N/NOK,HBY-135X150.5X6",SB70,"HBY135x150.5x6, Urethane, -",EA,8431.49-9000
2833013ES,"SEAL,BUFFER/SB70,81N/NOK,HBY-135X150.5X6",SB70,"HBY135x150.5x6, URETHANE, -",EA,8431.49-9000
2833015,"SEAL,BUFFER/SB50/NOK,HBY-100X115.5X6",SB50,"NOK HBY 100*115.5*6, U641, -",EA,8431.49-9000
2833015ES,"SEAL,BUFFER/SB50/NOK,HBY-100X115.5X6",SB50,"NOK HBY 100*115.5*6, U641, -",EA,8431.49-9000
2833017,"SEAL,BUFFER/NOK,HBY-180X195.5X6/U641",SB151,"HBY180x195.5x6, U641, -",EA,8431.49-9000
2833019,"SEAL,BUFFER/SB60/NOK,HBY 125X140.5X6",SB60,"HBY125x140_5xT6, UH05, -",EA,8431.49-9000
2833019ES,"SEAL,BUFFER/SB60/NOK,HBY 125X140.5X6",SB60,"HBY125x140_5xT6, UH05, -",EA,8431.49-9000
2833020,"SEAL,BUFFER/NOK,HBY170X185.5X6/UH05",SB130,"NOK, HBY170*185.5*6, UH05, -",EA,8431.49-9000
2833021,"SEAL,BUFFER/NOK,HBY175X190.5X6/UH05",SB140,"HBY175x190.5x6, UH05, -",EA,8431.49-9000
2833025,"SEAL,BUFFER/HBY165X180.5X6.1/UH05",SB135,HBY165X180.5X6.1,EA,8431.49-9000
2833026,"SEAL,BUFFER/HBY172X187.5X6.1/UH05",SB140,HBY172X187.5X6.1,EA,8431.49-9000
2833027,"SEAL,BUFFER/HBY177X192.5X6.1/UH05",SB151,HBY177X192.5X6.1,EA,8431.49-9000
2833028,BUFFER RING/SB40P/NOK HBY 80X96X6,SB40P,"NOK HBY 80*96*6, U801, -",EA,8431.49-9000
2833029,"SEAL,BUFFER/IUIY/185X199.5X9.5/UH970",SB3000II,185X199.5X9.5,EA,8431.49-9000
2833308,"SEAL,BUFFER/NOK,HBY170X185.5X6/PTFE",SB130,"NOK,HBY170X185.5X6",EA,8431.49-9000
2835019,"SEAL GAS/YC,157/VITON",SB125,"YC,157/VITON",EA,8431.49-9000
2835020,"SEAL GAS/YBS,98/VITON",SB50,"YBS,98/VITON",EA,8431.49-9000
2835022,"SEAL GAS/YGS,68/VITON",SB40,"YGS,68/VITON",EA,8431.49-9000
2835023,"SEAL GAS/YGS,83.5/VITON",SB45,"YGS,83.5/VITON",EA,8431.49-9000
2835024,"SEAL GAS/YGS,123.5/VITON",SB60,"YGS,123.5/VITON",EA,8431.49-9000
2835026,"SEAL GAS/YGS,167/VITON",SB130,"YGS,167/VITON",EA,8431.49-9000
2835029,"SEAL GAS/YBS,SS37/VITON",SB10,"YBS,SS37/VITON",EA,8431.49-9000
2835030,"SEAL GAS/YBS,SS147/VITON",SB100,"YBS,SS147/VITON",EA,8431.49-9000
2835031,"SEAL GAS/YBS,SS50/VITON",SB30,"YBS,SS50/VITON",EA,8431.49-9000
2835032,"SEAL GAS/YBS,SS57/VITON",SB35,"YBS,SS57/VITON",EA,8431.49-9000
2835033,"SEAL GAS/YBS,SS-73/VITON",SB43,"YBS,SS-73/VITON",EA,8431.49-9000
2835034,"SEAL GAS/SB70/NOK,PPY-133/VITON",SB70,"NOK,PPY-133, VITON, -",EA,8431.49-9000
2835034ES,"SEAL GAS/SB70/NOK,PPY-133/VITON",SB70,"NOK,PPY-133, VITON, -",EA,8431.49-9000
2835035,"SEAL GAS/SB10/NOK,PPY-37",SB10,"NOK PPY-37, F357, -",EA,8431.49-9000
2835036,"SEAL GAS/SB20/NOK,PPY-42/F357",SB20,"NOK PPY-42, F357, -",EA,8431.49-9000
2835036ES,"SEAL GAS/SB20/NOK,PPY-42/F357",SB20,"NOK PPY-42, F357, -",EA,8431.49-9000
2835037,"SEAL GAS/SB30/NOK,PPY-50/F357",SB30,"NOK PPY-50, F357, -",EA,8431.49-9000
2835037ES,"SEAL GAS/SB30/NOK,PPY-50/F357",SB30,"NOK PPY-50, F357, -",EA,8431.49-9000
2835038,"SEAL GAS/SB35/NOK,PPY-57/F357",SB35,"NOK PPY-57, F357, -",EA,8431.49-9000
2835038ES,"SEAL GAS/SB35/NOK,PPY-57/F357",SB35,"NOK PPY-57, F357, -",EA,8431.49-9000
2835039,"SEAL GAS/SB40/NOK,PPY-68/F357",SB40,"NOK PPY-68, F357, -",EA,8431.49-9000
2835039ES,"SEAL GAS/SB40/NOK,PPY-68/F357",SB40,", URETHANE, -",EA,8431.49-9000
2835040,"SEAL GAS/SB43/NOK,PPY-73/F357",SB43,"NOK PPY-73, F357, -",EA,8431.49-9000
2835040ES,"SEAL GAS/SB43/NOK,PPY-73/F357",SB43,"NOK PPY-73, F357, -",EA,8431.49-9000
2835041,"SEAL GAS/SB45/NOK,PPY-83.5/F357",SB45,"NOK PPY-83.5, F357, -",EA,8431.49-9000
2835041ES,"SEAL GAS/SB45/NOK,PPY-83.5/F357",SB45,"NOK PPY-83.5, F357, -",EA,8431.49-9000
2835042,"SEAL GAS/SB50/NOK,PPY-98/F357",SB50,"NOK, PPY-98, F357, -",EA,8431.49-9000
2835042ES,"SEAL GAS/SB50/NOK,PPY-98/F357",SB50,"NOK, PPY-98, F357, -",EA,8431.49-9000
2835043,"SEAL GAS/SB60/NOK,PPY-123.5/F357",SB60,"NOK,PPY-123.5, F357, -",EA,8431.49-9000
2835043ES,"SEAL GAS/SB60/NOK,PPY-123.5/F357",SB60,"NOK,PPY-123.5, F357, -",EA,8431.49-9000
2835044,"SEAL GAS/SB81/NOK,PPY-138/F357",SB81,"NOK,PPY-138, F357, -",EA,8431.49-9000
2835044ES,"SEAL GAS/SB81/NOK,PPY-138/F357",SB81,"NOK,PPY-138, F357, -",EA,8431.49-9000
2835045,"SEAL GAS/SB100/NOK,PPY-147/F357",SB100,"NOK,PPY-147, F357, -",EA,8431.49-9000
2835046,"SEAL GAS/SB125/NOK,PPY-157/F357",SB125,"NOK,PPY-157, F357, -",EA,8431.49-9000
2835047,"SEAL GAS/SB130/NOK,PPY-167/F357",SB130,"NOK,PPY-167, F357, -",EA,8431.49-9000
2835048,"SEAL GAS/SB151/NOK,PPY-177/F357",SB151,"NOK, PPY-177, F357, -",EA,8431.49-9000
2835050,"SEAL GAS/SB140/NOK,PPY-172/VITON",SB140,"NOK, PPY-172, VITON, -",EA,8431.49-9000
2835051,"SEAL GAS/NOK,PPY165X177.8X10/F357",SB130,"NOK,PPY165X177.8X10/F357",EA,8431.49-9000
2835058,SEAL GAS/205X217.8X10 IKH/F357,SB200,"IKH, 205x217.8x10, F357, -",EA,8431.49-9000
2835059,"SEAL,GAS/SB40P/AUTOX-78.5",SB40P,"AUTOX-78.5, F357, -",EA,8431.49-9000
2835062,SEAL GAS/SB170/PPY-185/F357,SB170,PPY-185,EA,8431.49-9000
2835063,SEAL GAS/SB147P/IKH 176X188.5X10/F357,SB147P,IKH 176X188.5X10/F357,EA,8431.49-9000
2835064,SEAL GAS/SB175/GFQ 187X200X9.7,SB175,187X200X9.7,EA,8431.49-9000
2835065,SEAL GAS/SB175/IKH 187X207.5X7.8/NOK,SB175,IKH 187X207.5X7.8/NOK,EA,8431.49-9000
2835066,GAS SEAL/SB195H/190X202.5X10/F357,SB195H,"IKH,190X202.5X10, F357, -",EA,8431.49-9000
2835067,GAS SEAL/SB3000II/F357,SB3000,F357,EA,8431.49-9000
2835069,"SEAL,GAS/NOK IKH 207X219.8X10",SB210H,NOK IKH 207X219.8X10,EA,8431.49-9000
2835070,"SEAL,GAS/NOK IKH 209X221.8X10/F357",SB210H,NOK IKH 209X221.8X10,EA,8431.49-9000
2841216,"RING,BACK UP/P15 CUT/PTFE",SB151,"P15, PTFE, -",EA,8431.49-9000
2841313,"RING,BACK UP/P65 T3/ENDLESS/몰리브덴",SQ140,"P65 ENDLESS, PTFE, -",EA,8431.49-9000
2843064,"RING,BACK UP/250X260X1.9 BIASCUT/PA",SB200,"250*260*T1.9 / BIASCUT, PA, -",EA,
2843147,"RING,BACK UP/SB3000-II/G210,ENDLESS",SB3000II,"G210,ENDLESS, PA, -",EA,
2844910,"RING,BACK UP/90X94X4.6 ENDLESS/PTFE/P80",SB200,"90*94*4.6 / ENDLESS/P80 플랜지용, PA, -",EA,8431.49-9000
2851065,O-RING/P85-1B/NBR,SB200,P85-1B,EA,
2851243,O-RING/G250-1B/NBR,SB200,"G250 (1종B), NBR, -",EA,8431.49-9000
2851244,O-RING/G215-1B/NBR,SB4000,"G215 (1종B), NBR, -",EA,8431.49-9000
2889061,SEAL KIT/SB151/FIETZ,SB151,FIETZ,EA,8431.49-9000
2889062,SEAL KIT/SB151/NOK,SB151,NOK,EA,8431.49-9000
2889063,SEAL KIT/SB151/FIETZ,SB151,FIETZ,EA,8431.49-9000
2890035,STATIC SEAL/32X40X3/PTFE,SQ140,32X40X3,EA,
3010020-3925856,FUEL FEED PUMP,SD-700,,EA,8431.49-9000
3073908001,GAS KET,SD-700,,EA,
310000-2002001,"MOTOR,ROTATOR/SD1000",SD-700,,EA,
3110000-2002001,HYDRAULIC MOTOR/H-200AD2-J,SD-700,H-200AD2-J,EA,8431.49-9000
3110000-2011282,HYDRAULIC MOTOR/PLM20.11.2RO-82E2-LGD,SD-700,PLM20.11.2RO-82E2-LGD,EA,
3110000-2063822,"HYDRAULIC MOTOR/PLM20.6,3R082E2LGD/GDN",SD-700,"PLM20.6,3R082E2LGD/GDN",EA,
3110000-2501C00,HYD. MOTOR( JD-2000 ),SD-25,", -, -",EA,
3110010-2011282,COUPLING/PLM20.11.2RO,SD-700,PLM20.11.2RO,EA,8431.49-9000
3230000-0001069,TRAVELING MOTOR/TM10VC-A-69-FW,SD-700,TM10VC-A-69-FW,EA,
3230005-3035271,R/G MOTOR/CS04-RB-35-27-1,SD-700,CS04-RB-35-27-1,EA,
3300010-0000020,AIR SOL. VALVE/CA20DD,SD-700,"CA20DD(GOYEN), -, -",EA,
3300040-0000800,CHECK VALVE/CHV-8-J,SD-700,CHV-8-J,EA,
3300040-000400C,"LINE CHECK V/V( C400S , 1/4 )",SD-25,"( C400S , 1/4 ), -, -",EA,
3300040-000800C,"LINE CHECK V/V( C800S , 1/2 , 0.5BAR )",SD-25,"( C800S , 1/2 , 0.5BAR ), -, -",EA,
3300040-HC16005,"LINE CHECK V/V ( HC1600-5 1"" )",SD-25,"(HC1600, 5bar 1""), -, -",EA,
3300040-HC16008,"LINE CHECK V/V(HC1600, 8bar)",SD-25,"(HC1600, 8bar), -, -",EA,
3300050-0000038,"BALL V/V ( 3/8"" , 나비형 )",SD-25,", -, -",EA,
3300050-0000100,"BALL V/V ( 1"" , SEAT TYPE )",SD-25,"BALL V/V ( 1"" , SEAT TYPE ), -, -",EA,
3300050-1000012,"BALL V/V ( 1/2 , 나비형 )",SD-25,", -, -",EA,
3310005-0000003,"CARTRIDGE/CBEA-LHN,C/B VALVE용",SD-700,"CBEA-LHN,C/B V/V",EA,
3310005-CKCDXCN,"CARTRIDGE ( CKCD-XCN,210bar , JD-2000 )",SD-25,"(CKCD-XCN,210bar), -, -",EA,
3310015-1024200,RELIEF VALVE,SD-700,,EA,
3310015-3137990,RELIEF VALVE/1-A3137-99-0,SD-700,1-A3137-99-0,EA,
3310035-1114594,PRES.REDUG VALVE/KFP1A1145-94-2,SD-700,KFP1A1145-94-2,EA,
3310040-CBBDLJN,"CARTRIDGE( CBBD-LJN,JD-2000 )",SD-25,"썬( CBBD-LJN,JD-2000 ), -, -",EA,
3310055-0023000,PILOT PRSSR.VALVE/AVN020-B/30.00,SD-700,AVN020-B/30.00,EA,
3310055-0024000,PILOT PRSSR.VALVE/AVN020-B/40.00,SD-700,AVN020-B/40.00,EA,
3310065-1071113,D/CON'T VALVE/SV10-B/07G-111AX3/SPACER,SD-700,SV10-B/07G-111AX3/SPACER,EA,
3320000-0078439,DETENT/PARKER,SD-700,PARKER,EA,
3320000-0089614,DETENT KIT MD2/PCL402,SD-700,PCL402,EA,
3320000-0813180,D/CON'T VALVE/SD8/1/AD/YG3-180,SD-700,SD8/1/ADXYG3-180,EA,
3320000-0832828,D/CON'T VALVE/SD8/3/AD/SV/28IM,SD-700,SD8/3/ADXSV,EA,
3320000-4020003,REM.CONT.VALVE/PCL402-2578A,SD-700,PCL402-2578A,EA,
3320010-2002414,SOLENOID CONTROL VALVE,SD-700,,EA,
