ITEM_CD,ITEM_NM,ITEM_GROUP_NM,SPEC,BASIC_UNIT,HS_CD
1420262,FRONT HEAD/SB205H/400X380X947/SCM420,SB205H,400X380X947,EA,8431.49-9000
1420263,VALVE HOUSING/SB210H/300X315X165/SCM420,SB210H,300X315X165,EA,8431.49-9000
1420265,FRONT HEAD/SB5000II/355X415X958/SCM420,SB5000II,355X415X958,EA,8412.90-9000
1420266,CYLINDER/SB4000/430X335X901/SCM420,SB4000,430X335X901,EA,8431.49-9000
1420267,BACK HEAD/SB4000/430X335X391/SCM420,SB4000,430X335X391,EA,8431.49-9000
1421000,BACK HEAD/SB40/152X200X164/20MnCr5,SB40,152X200X164,EA,8431.49-9000
1421001,CYLINDER/SB40/152X200X377/20MnCr5,SB40,152X200X377,EA,8412.90-9000
1421002,FRONT HEAD/SB40/152X165X408/20MnCr5,SB40,152X165X408,EA,8412.90-9000
1421003,"BACK HEAD/SB50,SU+55/275X220X263/20MnCr5",SB50,275X220X263,EA,8431.49-9000
1421004,CYLINDER/SB50/275X220X543/20MnCr5,SB50,275X220X543,EA,8412.90-9000
1421005,"FRONT HEAD/SB50,SU+55/240X220X561/20MnCr",SB50,240X220X561,EA,8412.90-9000
1421007,"BACK HEAD/SB81A,SU+85/360X265X363/20MnCr",SB81,360X265X363,EA,8431.49-9000
1421008,"CYLINDER/SB81,SU+85/360X265X561/20MnCr5",SB50,360X265X561,EA,8412.90-9000
1421009,FRONT HEAD/SB81/315X265X698/20MnCr5,SB81,315X265X698,EA,8412.90-9000
1421011,BACK HEAD/SB10/107X142X128/20MnCr5,SB10,107X142X128,EA,8431.49-9000
1421012,FRONT HEAD/SB20/112X125X304/20MnCr5,SB20,112X125X304,EA,8431.49-9000
1421013,BACK HEAD/SB20/112X155X152/20MnCr5,SB20,112X155X152,EA,8431.49-9000
1421014,CYLINDER/SB30/120X165X349/20MnCr5,SB30,120X165X349,EA,8412.90-9000
1421015,BACK HEAD/SB30/120X165X171/20MnCr5,SB30,120X165X171,EA,8431.49-9000
1421016,FRONT HEAD/SB35/152X152X371/20MnCr5,SB35,152X152X371,EA,8431.49-9000
1421017,BACK HEAD/SB35/140X185X166/20MnCr5,SB35,140X185X166,EA,8431.49-9000
1421018,BACK HEAD/SB45/175X235X265/20MnCr5,SB45,175X235X265,EA,8431.49-9000
1421019,FRONT HEAD/SB10/107X117X276/20MnCr5,SB10,107X117X276,EA,8431.49-9000
1460001,BACK HEAD/SB50/275X220X261/SCM440,SB50,275X220X261,EA,8431.49-9000
1460002,FRONT HEAD/SB4000/360X335X890/SCM440,SB4000,360X335X890,EA,8431.49-9000
1470001,FRONT HEAD/SB3000II/310X415X876/SCM440,SB3000II,310X415X876,EA,8431.49-9000
1470002,FRONT HEAD/SB3000II/310X350X828/SCM440,SB3000II,310X350X828,EA,8431.49-9000
2300005,STOP VALVE/1-1/4/D84145호환,SB125,1-1/4,EA,
2362004,SOLENOID VALVE/DSV2-100-P-N 100 24V,SB10,DSV2-100-P-N 100 24V,EA,8431.49-9000
2507448,"HOSE,OIL/D25XP210XL1300 5/90FL2",SB130,D25XP210XL1300 5/90FL2,EA,8431.49-9000
2526016,"HOSE,OIL/D6XP70XL300 5/905",SB70,D6XP70XL300 5/905,EA,8431.49-9000
2526062,"HOSE,OIL/D6XP70XL2000 5/905",SB130,D6XP70XL2000 5/905,EA,8431.49-9000
2526452,"HOSE,OIL/D25XP70XL1500 5/905",SB81,D25XP70XL1500 5/905,EA,8431.49-9000
2542450,"HOSE,OIL/D25XP210XL1400 3/3",SB130,D25XP210XL1400 3/3,EA,8431.49-9000
2552441,"HOSE,OIL/D25XP210XL950 5/F",SB81,D25XP210XL950 5/F,EA,8431.49-9000
2552444,"HOSE,OIL/D25XP210XL1100 5/F",SB81,D25XP210XL1100 5/F,EA,8431.49-9000
2552446,"HOSE,OIL/D32XP210XL1300 5/F",SB81,D32XP210XL1300 5/F,EA,8431.49-9000
2552448,"HOSE,OIL/D25XP210XL1300 5/F",SB130,D25XP210XL1300 5/F,EA,8431.49-9000
2552453,"HOSE,OIL/D25XP210XL1550 5/F",SB130,D25XP210XL1550 5/F,EA,8431.49-9000
2553458,"HOSE,OIL/D25XP210XL1800 4/555",SB130,D25XP210XL1800 4/555,EA,8431.49-9000
2555215,"HOSE,OIL/D12XP210XL292 5/905",SB43,D12XP210XL292 5/905,EA,8431.49-9000
